0,487,511,651,0,
1,489,511,652,1,
2,487,510,652,2,
3,488,510,652,3,
4,486,509,649,7,
5,480,502,641,26,
6,481,497,627,46,
7,482,491,607,65,
8,479,491,602,86,
9,481,496,606,105,
10,485,497,605,125,
11,490,505,611,148,
12,491,510,623,169,
13,490,508,627,191,
14,496,497,631,214,
15,499,487,650,235,
16,499,481,673,257,
17,503,497,699,279,
18,513,507,716,301,
19,515,511,726,322,
20,513,510,729,345,
21,511,508,738,366,
22,508,498,749,388,
23,507,493,748,409,
24,500,484,747,432,
25,503,483,744,453,
26,503,470,736,475,
27,498,465,743,497,
28,502,475,756,519,
29,507,475,773,540,
30,515,478,796,563,
31,521,481,808,584,
32,521,477,797,606,
33,521,475,777,628,
34,515,470,757,650,
35,515,476,737,671,
36,508,478,726,694,
37,506,486,721,715,
38,508,488,707,737,
39,507,488,700,759,
40,509,490,698,781,
41,508,489,693,802,
42,505,496,699,825,
43,506,498,696,846,
44,507,496,684,868,
45,501,491,681,890,
46,503,499,681,912,
47,501,499,679,933,
48,497,502,672,956,
49,492,501,667,977,
50,490,505,659,999,
51,485,510,648,1021,
52,479,516,642,1044,
53,478,513,619,1067,
54,475,506,607,1090,
55,473,498,610,1113,
56,475,490,611,1135,
57,479,491,610,1159,
58,484,502,616,1181,
59,487,511,624,1204,
60,490,512,628,1227,
61,492,501,635,1250,
62,490,504,654,1272,
63,495,509,670,1296,
64,506,520,691,1318,
65,504,529,710,1341,
66,499,513,710,1364,
67,503,507,710,1387,
68,503,505,721,1411,
69,498,498,738,1433,
70,496,498,743,1456,
71,497,482,733,1479,
72,498,477,738,1502,
73,493,474,740,1524,
74,497,473,736,1548,
75,501,474,737,1570,
76,501,474,740,1593,
77,507,477,747,1616,
78,508,475,756,1639,
79,511,471,766,1661,
80,511,466,765,1685,
81,517,467,757,1708,
82,516,466,754,1730,
83,514,471,752,1754,
84,515,474,742,1776,
85,515,476,726,1799,
86,516,479,718,1822,
87,507,481,733,1845,
88,508,489,726,1867,
89,508,484,700,1891,
90,507,483,685,1913,
91,499,486,693,1936,
92,501,490,694,1959,
93,500,488,700,1982,
94,502,486,690,2004,
95,506,488,681,2028,
96,503,487,682,2051,
97,500,487,686,2073,
98,493,479,676,2097,
99,489,479,659,2119,
100,486,488,643,2143,
101,480,509,619,2166,
102,465,520,596,2190,
103,480,514,584,2214,
104,482,501,583,2238,
105,486,497,591,2262,
106,488,498,608,2286,
107,495,512,631,2310,
108,500,516,642,2333,
109,502,514,654,2358,
110,497,502,671,2381,
111,495,501,691,2405,
112,498,506,696,2429,
113,504,507,696,2453,
114,500,503,708,2478,
115,501,495,721,2501,
116,499,490,740,2525,
117,499,483,750,2549,
118,502,479,748,2573,
119,502,473,756,2596,
120,501,482,764,2621,
121,502,477,757,2644,
122,511,492,768,2668,
123,515,496,772,2693,
124,518,502,776,2716,
125,520,501,778,2741,
126,522,499,772,2764,
127,518,485,755,2788,
128,514,487,750,2812,
129,514,486,741,2836,
130,509,476,727,2860,
